Technology,Peak average maximum upload speed,Peak average maximum download speed,24 hour Latency,24 hour packet loss
ADSL,1.037184,19.69244622,18.41802941,0.0001
ADSL,0.673608,2.273112516,29.18285817,0.0018
ADSL,1.085416,16.98787639,5.64566059,0.0002
ADSL,1.007408,5.7499896,29.24897072,0.0022
ADSL,0.389368,0.864392774,36.54434478,0.0017
ADSL,0.665376,4.364442322,52.11727557,0.0097
ADSL,0.581184,1.686436645,26.95170183,0.002
ADSL,0.96712,13.2527312,28.14609524,0.0001
ADSL,1.110888,8.11395071,16.54025,0.0018
ADSL,0.857928,3.389546322,42.34716252,0.0024
ADSL,0.860264,11.17960852,31.70308787,0.0004
ADSL,0.945248,16.13198142,17.56750184,0.0007
ADSL,1.009072,14.14943587,18.285375,0.0006
ADSL,0.984704,10.719864,27.95853551,0.0006
ADSL,0.373424,1.080201806,42.01568544,0.0002
ADSL,0.615472,3.943698581,28.14146199,0.0012
ADSL,0.660584,4.627306838,30.2663882,0.0005
ADSL,1.001648,6.724229162,7.8993195,0.0002
ADSL,0.959176,16.49369497,30.9005522,0.0013
ADSL,0.850472,5.07359871,23.87056338,0.0031
ADSL,0.773472,3.156518452,13.40132947,0.0038
ADSL,0.939264,13.611442,37.97098157,0.001
ADSL,1.038416,17.59839484,28.55221948,0.0001
ADSL,0.66308,8.7316384,24.58872098,0.0004
ADSL,1.0674,20.18462374,22.67561859,0.0017
ADSL,0.335936,3.333737778,32.10933777,0.0026
ADSL,0.940368,12.69311467,11.49682105,0.0021
ADSL,0.342888,1.95032671,27.67477808,0.0055
ADSL,1.096336,16.28876981,8.94514698,0.0457
ADSL,0.94864,13.38736336,19.36305615,0.0003
ADSL,1.068416,16.43661832,7.45271306,0.0004
ADSL,0.843584,11.15559897,31.69134986,0.0007
ADSL,0.926208,12.90987257,18.20358548,0.0006
ADSL,0.667544,10.31489886,25.28234295,0.0033
ADSL,0.857808,3.410599226,37.04167181,0.0008
ADSL,0.58184,2.749944774,21.0502398,0.0009
ADSL,1.026632,17.38035813,13.03837058,0.0017
ADSL,0.950336,5.666235871,30.01658848,0.002
ADSL,0.851472,13.16855381,37.20441621,0.0008
ADSL,0.929144,10.79839897,22.2194533,0.0019
ADSL,0.943328,5.713878571,35.22920737,0.0025
ADSL,0.965392,7.544599226,30.10785655,0.0003
ADSL,0.537784,2.563702194,24.45361898,0.0029
ADSL,0.676248,2.889608516,34.28669582,0.0008
ADSL,0.999696,20.79109858,6.02455632,0.0001
ADSL,0.959264,14.49723768,30.86673859,0.001
ADSL,0.70708,3.861123871,27.4497561,0.0007
ADSL,0.868608,6.401313548,21.98741552,0.0011
ADSL,0.750816,3.041680516,15.28053,0.0002
ADSL,0.738432,3.354167226,21.83875321,0.0023
ADSL,0.673872,18.90023561,21.396558,0.0018
ADSL,0.883856,6.80076929,35.05098474,0.0002
ADSL,0.529024,7.885733866,30.68058577,0.001
ADSL,0.992064,19.21009497,10.80515113,0.0015
ADSL,0.922088,14.49095381,13.05218156,0.0003
ADSL,0.938544,8.667186065,25.63761676,0.0002
ADSL,0.978048,6.263489806,21.32531181,0.0005
ADSL,1.08008,15.20486314,14.91057908,0.0009
ADSL,0.78564,1.367990194,32.91623648,0.0004
ADSL,1.056736,17.67043826,27.35693431,0.0008
ADSL,0.369792,0.589221419,34.14507902,0.0002
ADSL,0.859392,17.32544067,20.80773387,0.006
ADSL,0.730952,12.58985729,19.27845753,0.0003
ADSL,1.025832,8.609622452,11.67731421,0.0013
ADSL,0.861592,7.776355097,23.10720138,0.0007
ADSL,1.163632,6.788473548,37.01483852,0.005
ADSL,1.046624,14.17016439,15.1521463,0.0014
ADSL,1.00408,15.02902555,21.44644711,0.0008
ADSL,1.127272,19.32790039,16.6964567,0.0004
ADSL,0.819976,2.581806934,20.7025,0.002
ADSL,0.860008,15.46505755,20.01461227,0
ADSL,0.86112,9.453967484,23.6728107,0.0002
ADSL,0.71196,8.537719742,34.19313333,0.0003
ADSL,1.0414,14.161984,23.30224713,0.0004
ADSL,0.681192,2.502464,48.94228112,0.0032
ADSL,0.761472,3.333856727,26.50692,0.0229
ADSL,1.0312,12.87321718,25.26349684,0.0008
ADSL,0.389224,6.885184774,29.04974823,0.001
ADSL,0.920088,7.108979613,19.40427709,0.0002
ADSL,1.086176,19.99320077,19.97912644,0.0003
ADSL,0.372096,1.332719484,34.51822355,0.0009
ADSL,0.761472,14.24057445,28.63381706,0.0004
ADSL,0.847872,14.13439768,16.98042424,0.0021
ADSL,0.751728,5.865248258,9.28800276,0.002
ADSL,1.04944,17.12963277,10.22825103,0.0002
ADSL,1.060752,20.2507357,11.60017647,0.0006
ADSL,1.003136,8.944215742,30.27983565,0.0009
ADSL,0.8512,18.056824,8.25226582,0.0366
ADSL,0.959648,12.23446994,24.21593499,0.0001
ADSL,1.03416,11.45504155,29.32444721,0.0009
ADSL,0.975536,13.56169677,16.96023398,0.0034
ADSL,1.039104,15.28540981,9.43072614,0.0008
ADSL,0.3452,7.38145471,31.76374247,0.0012
ADSL,0.986768,8.482655238,25.33264274,0.0001
ADSL,0.749256,10.93997419,32.01354006,0.0017
ADSL,0.992328,4.886170838,22.51294295,0.0004
ADSL,0.990312,16.19710632,18.50749267,0.0001
ADSL,0.969976,12.19093755,21.66366253,0.0007
ADSL,1.078272,12.15389884,23.74090582,0.0058
ADSL,1.04248,9.900467466,13.7113231,0.0007
ADSL,0.848096,2.115386838,18.78313204,0.0034
ADSL,0.373248,1.899654621,41.00417508,0.0011
ADSL,1.076936,16.63201821,12.70373964,0.0001
ADSL,0.479576,1.59796929,44.16599024,0.0078
ADSL,1.16196,16.8169352,14.2369234,0.0005
ADSL,0.986216,4.690561482,17.58726818,0.0042
ADSL,0.148272,0.456886194,49.66027569,0.0003
ADSL,0.730368,17.52397787,27.32814928,0.0004
ADSL,0.369968,4.788832258,30.07091477,0.0006
ADSL,1.086336,10.21354942,26.06262734,0.0034
ADSL,1.117784,16.49976103,11.48209763,0.0049
ADSL,1.003368,14.12296367,26.08424687,0.0017
ADSL,0.829952,7.541294194,15.40758564,0.0009
ADSL,0.880384,20.05416619,11.16223554,0.0007
ADSL,1.05984,13.87674168,16.54627714,0.0049
ADSL,0.373248,2.874265032,47.73933725,0.002
ADSL,1.045184,18.08299093,20.67390537,0.0002
ADSL,0.529488,1.001907355,37.3901493,0.0014
ADSL,1.091208,20.06211226,12.01199441,0.0001
ADSL,0.913976,13.83349707,38.03868317,0.0009
ADSL,0.697904,13.760712,24.91661458,0.0004
ADSL,0.882432,16.82390839,12.85706327,0.0001
ADSL,0.673032,5.079759484,25.4335726,0.0018
ADSL,0.880392,16.63628852,25.65355462,0.001
